Title,Artist,Creation Date,Image URL,Description,Price
"Verdant Cliffs at Ku-tam [Tortoise Lake], Tan-yang, probably originally from an album of eight leaves depicting ""Eight Views of Tan-yang"" [Tan-yang p'al-kyŏng]",Chŏng Sŏn (also known as Wŏn-paek ['cha']; Kyŏm-chae ['ho']),mid 18th century,https://nrs.harvard.edu/urn-3:HUAM:70807_dynmc,,3952.31
One of the Ten Kings of Hell,Unknown Artist,15th - 16th century,https://nrs.harvard.edu/urn-3:HUAM:763910,,9608.13
"Poet Paying Homage to Krishna, folio from a Bhagavata Purana Series",Unknown Artist,c. 1820,https://nrs.harvard.edu/urn-3:HUAM:ISL10190_dynmc,"The painting depicts Krishna, the eight avatar of the Hindu god Vishnu who is worshipped as a deity in his own right, enthroned on an enclosed, outdoor terrace. He holds in his hand a long white scroll. Kneeling in front of him is a poet with raised hands. An attendant dressed in an orange robe (jama) stands on the left.",5122.8
The Bay of Estaque,Georges Braque,1908,,,6464.22
Bamboo through the Four Seasons,Yu Tŏk-chang (also known as Su-un and Ka-san-ŭng),mid 18th century,https://nrs.harvard.edu/urn-3:HUAM:51495_dynmc,"Korean folding screens often have six panels, like those painted in Japan; more characteristically, however, Korean screens boast eight, ten, or even twelve panels. In some cases, a Korean screen may feature a single, unified composition that spreads across all its panels; in other instances--such as this one--each panel is conceived as an individual painting.

Representing bamboo through the four seasons, this eight-panel screen is meant to be ""read"" by the viewer from right to left. The first two paintings, at the far right, depict newly sprung shoots and fresh stalks of bamboo emerging from the ground in spring. The next pair of images display lush, hearty stalks of bamboo enduring the strong winds and warm sun of summer. The relative sparseness, dry ink tones, and overlapping mist visible in the next two paintings convey characteristics of the autumn months. The last pair of images, at the far left, which depict old, thick, broken stalks of bamboo with hints of new stalks in one painting and bamboo branches heavily laden with snow in the other, complete the cycle with the winter season. Though the paintings lack inscriptions and signatures, two red, square seal impressions at the upper left corner of the far--left panel identify two sobriquets of the artist Yu Tŏk-chang (1675-1765) and thus reveal the creator of this masterful work of art.

A follower of the famous Korean bamboo-painting master Yi Chŏng (1541-1622), Yu Tŏk-chang was one of the most prominent literati artists of the Chosŏn dynasty (1392-1910). Like their Koryŏ-dynasty (918-1392) predecessors, both Yi and Yu took inspiration from the work of Chinese literati painters of the Song (960-1279) and Yuan (1279-1368) dynasties. Their paintings thus tend to resemble literati paintings by early Chinese masters, rather than works produced by their Chinese contemporaries. In this screen, however, Yu departs from the Chinese model and exhibits the distinctly Korean style of bamboo painting he learned from Yi Chŏng: the two tones of ink used to starkly distinguish fore-and background subjects; the angular mists that abruptly interrupt a scene; and the thick stumps of bamboo with sharp, broken edges. 

Bamboo painting was extremely popular among the literati, perhaps because of its association with the so-called Four Gentlemen--plum blossoms, orchids, chrysanthemums, and bamboo. All four of these botanical subjects, which readily lend themselves to depiction with calligraphic brushwork, are said to embody the virtues to which Confucian scholars aspired, such as integrity, purity, and strength in the face of adversity. So important was the ability to paint bamboo that in the fifteenth century it outranked even landscape painting in the official examinations for Korea's royal painting academy.
",6867.73
Panel Two (Harvard Mural Triptych),Mark Rothko,1962,,,5300.41
Landscape with Figures,Jean Dubuffet,1946,,"The painting depicts figures inscribed in a gridded landscape of trees, houses, an automobile, and various ambiguous features as well.  The facture consists of a layering of black and green and white paint on a red ground with vigorous scratchings and more subtle additions of paint.",4122.72
Mary Magdalene,"Francesco, called Cecco Bravo Montelatici",17th century,https://nrs.harvard.edu/urn-3:HUAM:71131_dynmc,"
",1180.95
Amelia Earhart (1897-1937),Edith A. Scott,1932,,,9592.19
A Pavilion Secluded in a Bamboo Grove,Hŏ Ryŏn 허련 許鍊 (also known as So-ch'i and Ma-hil),mid-late 19th century,https://nrs.harvard.edu/urn-3:HUAM:73743_dynmc,,4367.97
"Blossoming Branch of an Old, Weathered Plum Tree",Unknown Artist,17th century,https://nrs.harvard.edu/urn-3:HUAM:71986_dynmc,"Because it blooms in winter, even before it dons its leaves and while snow and ice still cover the ground, the Chinese flowering plum (Prunus mume) became a symbol of purity and of strength in the face of adversity; as such, it was popular as both a literary and an artistic motif in China, Korea, and Japan. The plum, together with the orchid, the chrysanthemum, and the bamboo (three other botanical subjects imbued with symbolic Confucian meaning and conducive to depiction with a calligraphy brush and ink), came to be known as the ""Four Gentlemen.""

In this delicately rendered painting, the old blossoming plum tree appears almost as if enveloped in mist and shrouded in silvery moonlight. Unlike the rugged, expressive ink plum paintings by Cho Hŭi-ryong (1791-1859), the emphasis in this work is on suggestive description and delicate brushwork-characteristics typical of seventeenth- and eighteenth-century Korean paintings of plum blossoms.

The wear and slight damage along the right edge of this painting, combined with absence of damage along the left vertical edge, suggest that it was once part of a folding screen. In that context, it is possible that the painting was salvaged from a damaged screen and subsequently mounted as a hanging scroll. One can imagine that the painting originally was one of six or eight panels, each of which represented an old plum tree.

",2079.28
Saint Sebastian,"Francesco, called Cecco Bravo Montelatici",17th century,https://nrs.harvard.edu/urn-3:HUAM:71132_dynmc,,4826.98
Landscape,Jean-Baptiste-Camille Corot,19th century,https://nrs.harvard.edu/urn-3:HUAM:61826_dynmc,,2012.38
Portrait of Madonna,Manohar,c. 1600,https://nrs.harvard.edu/urn-3:HUAM:ISL10206_dynmc,"Within an oval frame is a portrait of Madonna. She wears a red dress with gold flowers and leaves. Covering her shoulders is a blue cloak which is tied in a knot about her left shoulder. Her right hand is raised. She looks solemnly downward. She wears a small headdress and pearl earrings. Her hair is braided across her head and left loose behind her. Behind her head is a gold halo. She is rendered against a deep blue ground, much of which has flaked to reveal turquoise under-paint. Mughal Style.",3123.2
George F. F. Lombard (1911-2004),Pettee,1970,https://nrs.harvard.edu/urn-3:HUAM:783757,,2810.76
Kingfisher Over a Lotus Pond,Ren Yi 任頤,late 19th century,https://nrs.harvard.edu/urn-3:HUAM:78690_dynmc,"Ren Yi (also known by his sobriquet Bonian) was born in Shangyin (modern Shaoxing), Zhejiang province. The son of a portrait painter, Ren Yi learned to paint at a young age and in adulthood used his art as his livelihood. After living for a time in Ningbo and Suzhou, Ren finally settled in the newly developed port city of Shanghai in 1868. From his base in bustling Shanghai, Ren Yi developed a new and novel style of painting that won him a wide audience and made him the acknowledged leader of the Shanghai school, or Haipai. Though it favors light colors, Ren's style is at once bold, forceful, and vivid, as exemplified by this delightful bird-and-flower painting.

Depicting a small bird with outstretched wings darting through the attenuated stems of lotus growing in a pond, this painting adopts a perspective that brings the viewer down to the water's surface, virtually eye-to-eye with the tiny creature. The broad, blue-green lotus leaves and lush white blossoms appear enormous as they loom above the bird, while a thick forest of lotus stems nearly camouflages it altogether. Faint brush strokes representing water reeds and grasses delineate the pond's surface, which would otherwise appear as a void.

The lotus is an important motif in Chinese art that traces its symbolic origins to Buddhism. Because it grows in muddy waters, yet emerges upright, unsullied, fragrant, and beautiful, the lotus became an emblem of purity in Buddhist literature and imagery. The two Chinese terms for lotus--lian and he--are phonetically identical to numerous auspicious phrases, such as love and harmony, and are thus ubiquitous in Chinese folk art and rebuses.
",6913.34
Traveling Costume,Ellen Phelan,1999-2000,,,9100.06
"Virgin and Child with Saints Sebastian, Francis, John the Baptist, Jerome, an unidentified female saint, Saint  Anthony of Padua and two donors",Giovanni Bellini,c. 1515,https://nrs.harvard.edu/urn-3:HUAM:50794_dynmc,,4251.24
Bertha Hallowell Vaughan (1866-1948),Cecilia Beaux,1901,https://nrs.harvard.edu/urn-3:HUAM:71077_dynmc,,4658.87
"Landscape After Wang Meng's ""Immortal Abode in the Pine Covered Mountains""",Wang Hui 王翬,1701,https://nrs.harvard.edu/urn-3:HUAM:70804_dynmc,,1048.24
"Mountain Landscape with Waterfall, Village, and Distant Pagoda",Cho Chung-muk (also known as Un-kye ['ho']),second half 19th century,https://nrs.harvard.edu/urn-3:HUAM:73726_dynmc,,5363.28
Landscape After Dong Yuan,Wang Jian 王鑑,3rd quarter 17th century,https://nrs.harvard.edu/urn-3:HUAM:INV013999_dynmc,,5099.57
