Title,Artist,Creation Date,Image URL,Description,Price
"Ali Receiving the Bay'a (Swearing of Allegiance) (painting, recto; text, verso), illustrated folio from a manuscript of Maktel-i Ali Resul of Lami‘i Chelebi",Unknown Artist,late 16th century,https://nrs.harvard.edu/urn-3:HUAM:61609_dynmc,,8200.27
The Two Oracles,Nicolas Henri Tardieu,1719,https://nrs.harvard.edu/urn-3:HUAM:INV187853_dynmc,,1936.68
Manuscript of a Qur'an: Section (Juz') VIII,Unknown Artist,16th century,https://nrs.harvard.edu/urn-3:HUAM:DDC101139_dynmc,"This is a section from a part (juz VIII) of a Qur'an made up of 29 folios copied with 7 lines of vocalized muhaqqaq script on each page. The section contains the verses in sura 6 (An'am, The Cattle): 111-165 and sura 7 (A'raf, The Heights): 1-87. The only sura heading is written with gold letters in a frame outlined with blue lines. Its burgundy colored leather binding has been stamped with a central oval medallion and two pendants, and decorated with leaves and flowers on a scroll in a style typical of the 16th century Ottoman decorative repertoire. The flap also has a central medallion. The binding has been cut towards its spine possibly during a repair which has created an imbalanced appearance for the central medallion.",5221.38
Dam!,Larry Stark,2001,https://nrs.harvard.edu/urn-3:HUAM:INV049432_dynmc,,1268.8
"Mule (painting, recto; text, verso), Illustrated folio from Manafi Al-Hayawan of Ibn Bakhtishu
",Unknown Artist,1300s,https://nrs.harvard.edu/urn-3:HUAM:51543_dynmc,,5607.92
Achilles and Chiron,Nicolas Henri Tardieu,1719,https://nrs.harvard.edu/urn-3:HUAM:INV188165_dynmc,,4641.32
Illustrated Manuscript of the Rawda al-Ushshaq (Garden of Lovers) of Arifi,Unknown Artist,c. 1560,https://nrs.harvard.edu/urn-3:huam:DDC112622_dynmc,"This is an illustrated copy of Rawda al-Ushshaq (Garden of Lovers) by Arif (also known as Arifi). Fethullah Arif Chelebi  was the official court historian during the reign of Suleyman the Magnificent (r. 1520-66), the Ottoman sultan in whose reign the post had been established.  Arif held this office from the early 1550s until 1561.  In 1558 Arif completed the Suleymanname, the first official illustrated history of the Ottoman dynasty.  This text was composed in Persian following the meter of Firdawsi’s Shahnama, and chronicled the deeds of Suleyman the Magnificent. Rawda al-Ushshaq is composed in Persian as well. After an introduction about the prophet, there is a section praising Suleyman as the ruler of Islam. The rest of the text is composed of several stories, interspersed with accounts on the virtues of speech, wisdom, and inquiry. The manuscript has sixty-six folios. The text is written in twelve lines and two columns in fine nastaliq script on gold-sprinkled paper. The manuscript contains three paintings on 23r, 29v, and 41v depicting specific stories in the text. The leather binding has gilded center and corner pieces on the outside and a single center piece on the inside. The outside is brown colored while the inside is burgundy.",5248.65
"The Prophet Muhammad and His Companions at a Feast (painting, recto; text, verso), illustrated folio from a manuscript of Siyar-i Nabi (The Life of the Prophet) by Mustafa Darir of Erzurum",Unknown Artist,1594-1595,https://nrs.harvard.edu/urn-3:HUAM:61626_dynmc,"This is an illustrated folio from a copy of the Siyer-i Nebi, a work on the life of the Prophet Muhammad. It was written in Turkish by a Turkish poet (Darir of Erzurum) in Cairo for the Mamluk sultan of Egypt in 1388. Enjoyed among court circles, the Ottoman sultan Murad III (r. 1574-1595) commissioned a multi-volume imperial copy with 814 illustrations in the 1590s. It was expertly copied and illustrated by Ottoman court artists. This scene depicts the Prophet at a feast with his companions during military campaigns around the port city of Yanbu, in present-day Saudi Arabia. In the miniature following 16th century norms, the face of the Prophet is covered and the flaming halo around his body indicates his prophetic status. The artist chose contemporary Ottoman details, such as blue-and-white ceramic dishes and gilded tableware along with architectural details, to visualize the actual setting of the event that took place in 623.",7965.56
Pluto and Proserpine,Nicolas Henri Tardieu,1719,https://nrs.harvard.edu/urn-3:HUAM:INV188172_dynmc,,7544.44
"Husayn Addressing the Umayyad Army at Karbala (painting , recto; text, verso), illustrated folio from a manuscript of Hadikatu'l-Su'ada (Garden of the Blessed by Mehmed ibn Suleyman Fuzuli",Unknown Artist,c. 1600,https://nrs.harvard.edu/urn-3:HUAM:72693_dynmc,,8015.69
